,sentences
4904,A man in a suit is being surrounded by photographers
4905,A man in a suit is not being surrounded by photographers
4906,A photographer is being surrounded by men
4907,Children in swimming suits are playing in the pool
4908,Children in swimming suits are playing in the water
4909,Children in swimming suits are not playing in the water
4910,The boys are wearing bathing suits and water is splashing around
4911,The kids are wearing bathing suits and water is splashing around
4912,The kids are not wearing suits and water is splashing around
4913,Boys are dangling from straps and kicking at each other
4914,People are dangling from straps and kicking at each other
4915,Nobody is dangling from straps and kicking at each other
4916,A blonde girl is hanging by gymnastic ropes
4917,A girl is hanging by gymnastic ropes
4918,A blonde man is hanging by gymnastic ropes
4919,A man dressed in black and white is holding up the tennis racket and is waiting for the ball
4920,A player dressed in black and white is holding up the tennis racket and is waiting for the ball
4921,A man dressed in black and white is dropping the tennis racket and is waiting for the ball
4922,A tennis player in mid game is holding a racquet
4923,A racquet is being held by a tennis player in mid game
4924,A tennis player in mid game is not holding a racquet
4925,A dog is playing in the green field
4926,A dog is playing on the green grass
4927,A dog is sleeping on the green grass
4928,A brown and white dog is playing on the grass
4929,A brown and white dog is playing on the lawn
4930,A brown and white cat is playing on the grass
4931,A tan skinned kid is looking at the camera
4932,A tan skinned child is looking at the camera
4933,There is no tan skinned child looking at the camera
4934,A little boy with a bib is watching the camera
4935,A young boy with a bib is watching the camera
4936,A little boy with a bib is not watching the camera
4937,A young boy in the blue shirt is jumping into the water
4938,The young boy in the blue shirt is jumping into the water
4939,The young boy in the blue shirt is not jumping into the water
4940,A young boy is diving into a still lake
4941,A young boy is jumping into a still lake
4942,A young girl is jumping into a still lake
4943,Two men are carrying colorful baskets and blankets and walking near a building
4944,Two people are carrying colorful baskets and blankets and walking near a building
4945,Two people are carrying gray baskets and blankets and walking near a building
4946,Two people are walking with laden baskets and colorful blankets
4947,Two people are walking with laden baskets and blankets
4948,Two people are sitting with laden baskets and blankets
4949,A young girl is sitting in a swimsuit
4950,A young girl is sitting in swimming gear
4951,A young man is sitting in swimming gear
4952,"A young girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on her head"
4953,"A little girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on the head"
4954,"A young boy is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swim goggles on her head"
4955,A dog is running on a snowy road
4956,A dog is running on a snowy path
4957,A dog is running on a muddy path
4958,A brown dog is running through a snowy path
4959,A brown dog is running through a snowy trail
4960,A white dog is running through a snowy trail
4961,Two boys in white outfits and red protective gear are sparring on a mat
4962,Two children in white outfits and red protective gear are sparring on a mat
4963,Two children in white outfits and red protective gear are sitting on a mat
4964,Two boys are doing martial arts on a blue mat
4965,Two kids are doing martial arts on a blue mat
4966,Two boys are doing martial arts on a green mat
4967,A black and white dog is playing with a ruined volleyball in a brown field
4968,A black and white dog is playing with a tattered volleyball in a brown field
4969,A black and white dog is playing with a frisbee in a brown field
4970,A black and white dog is playing with a broken volleyball
4971,A black and white dog is playing with a broken ball
4972,A black and white dog is playing with a new volleyball
4973,A young boy in a helmet is riding a bike on the road
4974,A bike is ridden on the road by a young boy in a helmet 
4975,A young boy in a helmet is riding a bike on the lawn
4976,The little boy is riding a bicycle in a race
4977,A bicycle is being ridden by the little boy in a race
4978,The little girl is riding a bicycle in a race
4979,Mud is covering a topless woman
4980,A topless woman is being covered in mud
4981,There is no topless woman covered in mud
4982,A topless woman is being smeared with a brown substance and a blurry crowd is in the background
4983,A woman is being smeared with brown substance and a blurry crowd is in the background
4984,A topless woman is being smeared with brown substance and a nobody is in the background
4985,Two boys and a man are playing games at an arcade
4986,Two kids and a man are playing games at an arcade
4987,Two kids and a woman are playing games at an arcade
4988,A family is purchasing something at the vending machine
4989,A family is buying something at the vending machine
4990,A family is not purchasing something at a vending machine
4991,A female cheerleader is sitting on the knee of a male cheerleader
4992,A female cheerleader is sitting on the knee of a man
4993,A female cheerleader is jumping on the knee of a male cheerleader
4994,Some cheerleaders are taking a break
4995,Some cheerleaders are relaxing
4996,Some cheerleaders are dancing
4997,A group of people is holding drinks and pointing at the camera
4998,Drinks are being held by people pointing at the camera
4999,A group of people is holding food and pointing at the camera
5000,Several young people are posing for a photo and holding beers
5001,Several young people are posing for a photo and holding drinks
5002,Several old people are posing for a photo and holding beers
5003,A girl with red hair and red eyebrows is talking
5004,A girl with red hair and red eyebrows is in midspeech
5005,"The girl has red hair and eyebrows, several piercings in a ear and a drawing on the back"
5006,"The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back"
5007,"The girl has red hair and eyebrows, several piercings in a ear and no tattoo on the back"
5008,A woman in blue has a yellow ball in the mitt
5009,A woman in blue has a yellow ball in the hand
5010,A man in blue has a yellow ball in the mitt
5011,The girl in blue is chasing the base runner with a number on the jersey
5012,The girl in blue is chasing the player with a number on the jersey
5013,The man in blue is chasing the base runner with a number on the jersey
5014,The young man is rock climbing
5015,The man is rock climbing
5016,The young man is not rock climbing
5017,A man in a purple hat is climbing a rocky wall with bare hands
5018,A rocky wall is climbed by a man in a purple hat with bare hands
5019,A man in a purple hat isn't climbing a rocky wall with bare hands
5020,Two people are driving a jeep and a lady is sitting on the top of it
5021,Two people are driving a jeep and a girl is sitting on the top of it
5022,Two people are driving a boat and a lady is sitting on the top of it
5023,A blond woman is sitting on the roof of a yellow vehicle and two people are inside
5024,A woman with blond hair is sitting on the roof of a yellow vehicle and two people are inside
5025,A blond woman is sitting on the roof of a yellow vehicle and two people are outside
5026,A large brown dog is jumping over a red hurdle
5027,A red hurdle is being jumped by a large brown dog
5028,A large brown cat is jumping over a red hurdle
5029,"A brown and white dog is jumping over a red, yellow and white barrier"
5030,"A brown and white dog is jumping over a red, yellow and white hurdle"
5031,"A brown and white dog is passing under a red, yellow and white hurdle"
5032,The yellow dog is drinking water from a bottle
5033,The yellow dog is drinking water from a container
5034,The yellow dog is drinking water from a pot
5035,A yellow dog is drinking water from the faucet
5036, water from the faucet is being drunk by a yellow dog
5037,A yellow dog is not drinking water from the faucet
5038,Adults and children standing and playing in front of steps near a wooded area
5039,Adults and children standing and playing in front of a stair near a wooded area
5040,Adults and children are standing and playing in front of steps near a desert area
5041,The adults and children are being grouped near an outdoor seating arrangement
5042,The adults and children are being gathered near an outdoor seating arrangement
5043,The adults and children are not gathered near an outdoor seating arrangement
5044,A bride with a white dress is looking down
5045,A bride with a white veil is looking down
5046,A bride with a black veil is looking down
5047,A woman is looking down and is wearing a wedding dress
5048,A woman is looking down and is wearing a wedding veil
5049,A boy is looking down and wearing a wedding veil
5050,A young girl is standing in a group and is wearing a black shirt and pink beads
5051,A girl is standing in a group and is wearing a black shirt and pink beads
5052,A girl is standing alone and wears a black shirt and pink beads
5053,A girl has black and orange patches on the cheeks
5054,A girl has colored patches on the cheeks
5055,There is no girl with black and orange patches on the cheeks
5056,Two large dogs are frolicking in a grassy field
5057,Two large dogs are frolicking in a field
5058,Two large dogs are frolicking in a parking lot
5059,Two dogs are running through high grass
5060,Two animals are running through high grass
5061,Two dogs are running through water
5062,A black dog is running across a rocky landscape
5063,A dog is running across a rocky landscape
5064,A white dog is running across a rocky landscape
5065,A black dog is walking along rocky terrain
5066,A black dog is moving along rocky terrain
5067,A black cat is walking along rocky terrain
5068,Three small dogs are sniffing at something
5069,Three dogs are sniffing at something
5070,Three small cats is sniffing at something
5071,Three dogs are resting on a sidewalk
5072,Three dogs are resting on the pavement
5073,Three dogs are resting on a couch
5074,A young man is getting a motocross bike up a dirt hill
5075,A young man is pushing a motocross bike up a dirt hill
5076,A young man is pushing a motocross bike down a dirt hill
5077,Some young dirt bikers are getting a dirt bike up a sandy hill
5078,Some young bikers are getting a dirt bike up a sandy hill
5079,Some old dirt bikers are getting a dirt bike up a sandy hill
5080,A middle aged man and woman are riding bikes down a road beside the water
5081,A middle aged man and woman are riding bikes down a road near the water
5082,A middle aged man and woman are riding horses down a road beside the water
5083,An older man and a woman are riding bikes on the boardwalk near the ocean
5084,An older man and a woman are riding bikes on the boardwalk near the water
5085,A young man and a woman are riding bikes on the boardwalk near the ocean
5086,Some people and cars are on a crowded street
5087,Some people and vehicles are on a crowded street
5088,Some people and vehicles are on a almost empty street
5089,Pedestrians and cars are moving through a traffic jam in a big city
5090,Pedestrians and cars are moving through a traffic jam in the big city
5091,Pedestrians and cars are moving through a traffic jam in a small city
5092,Two brown and white dogs are fighting on a grassy area in front of a tree
5093,Two brown and white dogs are fighting on a grassy area in front of a plant
5094,Two brown and white dogs are fighting on a grassy area behind a tree
5095,Two dogs are playing outside
5096,Two animals are playing outside
5097,Two dogs are playing inside
5098,A soccer player is sitting on the field and is drinking water
5099,Water is being drunk by a soccer player sitting on the field
5100,A soccer player is sitting on the field and is drinking beer
5101,A man is sitting on the grass and drinking from a water bottle
5102,A man is sitting on the lawn and drinking from a water bottle
5103,A woman is sitting on the grass and is drinking from a water bottle
5104,A dog is running on the sea shore
5105,A dog is running on the beach
5106,There is no dog running on the beach
5107,The dog is running through the wet sand
5108,The dog is moving through the wet sand
5109,The dog is running through the dry sand
5110,Sunglasses are being worn by a boy
5111,A boy is wearing sunglasses
5112,A girl is wearing sunglasses
5113,A chubby faced boy is wearing sunglasses
5114,A chubby faced boy is wearing dark glasses
5115,A chubby faced boy is not wearing sunglasses
5116,Children are being dressed in costumes and playing a game
5117,Kids are being dressed in costumes and playing a game
5118,Kids are not dressed in costumes and playing a game
5119,A young girl with painted face is standing next to some other children
5120,A girl with painted face is standing next to some other children
5121,A young boy with painted face is standing next to some other children
5122,Dogs are racing on a track
5123,Dogs are running on a track
5124,There is no dog racing on a track
5125,A horse is racing
5126,A horse is not racing
5127,Two bmx bikers are jumping dirt ramps in front of the water
5128,Two bmx bikers are jumping dirt ramps in front of a body of water
5129,There is no bmx biker jumping dirt ramps in front of a body of water
5130,Some bikers are doing acrobatics on a track near water and a skyline
5131,Some bikers are getting airborne on a track near water and a skyline
5132,Some bikers are not getting airborne on a track near water and a skyline
5133,A man is doing a trick on a skateboard
5134,A person is doing a trick on a skateboard
5135,A man is doing a trick on a bike
5136,A man is doing a skateboard trick on an outdoor park porch
5137,A man is doing a skateboard trick on a park porch
5138,A woman is doing a skateboard trick on an outdoor park porch
5139,A man in a motocross uniform is wearing a helmet and rides a red motorcycle
5140,A person in a motocross uniform is wearing a helmet and rides a red motorcycle
5141,A person in a motocross uniform is not wearing a helmet and riding a red motorcycle
5142,A man in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle
5143,A racer in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle
5144,A racer in full gear wears a helmet with sponsor logos and is riding a blue sport motorcycle
5145,People are sitting at square tables in a red room
5146,People are sitting at tables in a red room
5147,People are sitting at round tables in a red room
5148,Several people are sitting at little tables in a darkened room
5149,Several people are sitting at small tables in a darkened room
5150,Several people are sitting at small tables in a light room
5151,A boy in a striped shirt is playing in front of a water fountain
5152,A boy in a striped shirt is jumping in front of a water fountain
5153,A boy in a striped shirt is jumping behind a water fountain
5154,A boy is jumping off the side of a water fountain made of stone in front of a building
5155,A boy is jumping off the side of a stone water fountain in front of a building
5156,A boy is jumping on the side of a stone water fountain in front of a building
5157,Two dogs are leaping through snowy grass and rocks
5158,Two dogs are jumping through snowy grass and rocks
5159,There is no dog leaping through snowy grass and rocks
5160,"Two large dogs, a light colored one and a dark one, are quickly moving through snowy terrain"
5161,"Two large dogs, a light colored one and a dark one, are running through snowy terrain"
5162,"Two large dogs, a light colored one and a dark one, are sleeping on a snowy terrain"
5163,A girl in blue is sliding down a green slide
5164,A girl in blue is sliding down a slide
5165,A boy in blue are sliding down a green slide
5166,The young girl in blue is having fun on a slide
5167,The young girl in blue is enjoying a slide
5168,The young girl in blue is having fun on a swing
5169,A black man is walking next to a shop in a big city
5170,A black man is walking next to a building in a big city
5171,A white man is walking next to a building in a big city
5172,A man is looking into the distance and people is walking between buildings behind
5173,A person is looking into the distance and people is walking between buildings behind
5174,A woman is looking into the distance and people are walking between buildings behind
5175,A bald man in a band is playing guitar in the spotlight
5176,A bald man in a band is playing an instrument in the spotlight
5177,A man is playing guitar next to a drummer
5178,A guitar is being played by a man next to a drummer
5179,There is no man playing guitar next to a drummer
5180,A black dog is jumping off a dock into a pond
5181,A black dog is jumping off a dock into water
5182,A black dog is jumping on a dock into a pond
5183,A black dog is jumping from a dock into the water
5184,A black animal is jumping from a dock into the water
5185,A white dog is jumping from a dock into the water
5186,A bride in a white dress is running
5187,A girl in a white dress is running
5188,A girl in a white dress is standing
5189,A little girl is smiling and running out of the house
5190,A little girl is smiling and running outside
5191,A little girl is smiling and running inside
5192,A skier in black is catching a tiny bit of air
5193,A skier dressed in black is catching a tiny bit of air
5194,A skier in white is catching a tiny bit of air
5195,A man is skiing down a snowy mountain
5196,A man is skiing down a snowy hill
5197,There is no man skiing down a snowy hill
5198,A boy is playing slip and slide in the grass
5199,A child is playing slip and slide in the grass
5200,A child is not playing slip and slide in the grass
5201,A child is splashing in a pool for children and other kids are playing in the background
5202,A child is splashing in a pool for children and other children are playing in the background
5203,A child is splashing in a pool for children and no other children are playing in the background
5204,Two men are standing together and one is looking in the distance
5205,Two men are standing together and one is looking through binoculars
5206,Two women are standing together and one is looking through binoculars
5207,Two men are looking out and binoculars are being held by one of them
5208,Two men are looking out and one is holding binoculars
5209,Two men are looking out and one is holding a spyglass
5210,A motorcyclist on a bike is leaning into a sharp corner
5211,There is no motorcyclist on a bike leaning into a sharp corner
5212,A man on a motorcycle is turning around a corner
5213,A man on a motorcycle is going around a corner
5214,A woman on a motorcycle is going around a corner
5215,A man with a backwards hat is sitting on the ground
5216,A person with a backwards hat is sitting on the ground
5217,A man with no hat is sitting on the ground
5218,A young man in a white shirt and gold and black hat is sitting with crossed legs
5219,A young person in a white shirt and gold and black hat is sitting with crossed legs
5220,An old man in a white shirt and gold and black hat is sitting with crossed legs
5221,A young oriental girl is standing above the crowd and is playing with a pinwheel
5222,A young oriental girl is standing above people and is playing with a pinwheel
5223,A young occidental girl is standing above the crowd and is playing with a pinwheel
5224,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of an old man with grey hair
5225,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair
5226,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a woman with grey hair
5227,A young man on a bmx bicycle is jumping off a masonry pyramid
5228,A young man on a bmx bicycle is jumping off a pyramid
5229,A young man on a bmx bicycle is jumping on a masonry pyramid
5230,A man on a bike is jumping on a pyramid-shaped ramp
5231,A bicyclist is jumping on a pyramid-shaped ramp
5232,There is no bicyclist jumping on a pyramid-shaped ramp
5233,A shirtless man is playing football on a lawn
5234,A shirtless man is playing football on a field
5235,A shirtless man is playing football in a gym
5236,A man with no shirt is holding a football
5237,A football is being held by a man with no shirt
5238,A man with a shirt is holding a football
5239,The man is going into the lake
5240,The man is going into the water
5241,The man is not going into the water
5242,The person is going into the sea
5243,The person is going into the water
5244,The person is not going into the water
5245,Two people are sitting on a park bench on a sunny day
5246,Two people are sitting on a park bench on a hot day
5247,Two people are sitting on a park bench on a rainy day
5248,Two women dressed in white and black are relaxing on a bench
5249,Two women dressed in white and black are sitting on a bench
5250,Two men dressed in white and black are sitting on a bench
5251,Five people are standing in the grass with three dogs
5252,Five people are standing in the grass with some dogs
5253,Five people are standing in the grass with no dogs
5254,Five people are standing with three dogs in the green field beside the road
5255,Five people are standing with three dogs in the park beside the road
5256,Five people are running with three dogs in the green field beside the road
5257,A girl is carrying a lot of colorful scarves on the beach
5258,A young woman is carrying a lot of colorful scarves on the beach
5259,An old woman is carrying a lot of colorful scarves on the beach
5260,A rainbow afghan is being held by a girl in gold and purple
5261,A girl in gold and purple is holding a rainbow afghan
5262,A man in gold and purple is holding a rainbow afghan
5263,A light brown dog is running in the water
5264,A light brown dog is sprinting in the water
5265,A light brown dog is running in the grass
5266,A tan dog is splashing in the water on the bank of a pond
5267,A tan dog is playing in the water on the bank of a pond
5268,A tan dog is splashing in the water on the bank of a river
5269,The child is splashing water in a small blue pool
5270,The child is splashing water in a pool
5271,The child is splashing water in a big red pool
5272,A baby is splashing inside a blue paddling pool
5273,A toddler is making a splash inside a blue paddling pool
5274,A toddler is making a splash outside a blue paddling pool
5275,A grey silky dog is sleeping in the grass and a brown dog is looking on
5276,A grey silky dog is lying in the grass and a brown dog is looking on
5277,A grey silky dog is running in the grass and a brown dog looks on
5278,The brown dog is spotting a black dog lying in the dry field
5279,The brown dog is spotting a black dog lying in the dry grass
5280,The brown dog is spotting a black dog and is playing in the dry grass
5281,A man is standing on a dirt hill next to a black jeep
5282,A man is standing on a dirt hill next to a black car
5283,A man is standing on a black jeep on a dirt hill
5284,A man in a hat is standing outside of a green jeep
5285,A man in a hat is standing outside of a green vehicle
5286,A man with no hat is standing outside of a green jeep
5287,A black dog and a small white and black dog are looking up at a kitchen countertop
5288,Two dogs are looking up at a kitchen countertop
5289,A black cat and a small white and black cat are looking up at a kitchen countertop
5290,A large dog and a small dog are standing next to the kitchen counter and are sniffing
5291,A large dog and a small dog are standing next to the kitchen counter and are investigating
5292,A large dog and a small dog is standing on the kitchen counter and investigate
5293,A dog is playing on the ground
5294,A dog is rolling on the ground
5295,A dog is sleeping on the ground
5296,A tan dog which is dirty is rolling in the dirt and looking right at the camera
5297,A dirty tan dog is rolling in the dirt and looking right at the camera
5298,A dirty tan dog is rolling in the water and looking right at the camera
5299,An Arabic man is wearing a white hat
5300,A white hat is being worn by an Arabic man
5301,An Arabic man isn't wearing a white hat
5302,A man with a white hat and brown shirt is behind a woman in red and is looking to the left
5303,A man with a white hat and brown shirt is behind a woman in red and is looking to the side
5304,A man with a white hat and brown shirt is behind a woman in red and is looking to the right
5305,Little boys are playing in a water fountain in front of lots of people
5306,Little kids are playing in a water fountain in front of lots of people
5307,Little kids are playing in a water fountain in front of few people
5308,Children are playing in a fountain that is spraying water from the ground
5309,Children are playing in ground fountains
5310,Animals are playing in fountains that spray water from the ground
5311,A man on a yellow dirt bike is taking a jump
5312,A person on a yellow dirt bike is taking a jump
5313,A person on a yellow clean bike is taking a jump
5314,A person on a yellow bike is airborne
5315,A cyclist on a yellow bike is airborne
5316,There is no cyclist on a yellow bike airborne
5317,The bicycle is being ridden by a man wearing a beret on a recreation trail
5318,A man is wearing a beret and is riding the bicycle on a recreation trail
5319,A woman is wearing a beret and is riding the bicycle on a recreation trail
5320,An old man with a grey beard is riding a bike
5321,An old man with a beard that is grey is riding a bike
5322,An old man with a grey beard is not riding a bike
5323,Five adults are sitting on stone steps
5324,Five adults are sitting on steps made of stone
5325,Five adults are sitting on a chair
5326,People are sitting against a wall
5327,People are sitting near a wall
5328,People is standing against a wall
5329,A man is rock climbing and a city and a bay are in the background
5330,A person is rock climbing and a city and a bay are in the background
5331,A man is not rock climbing and a city and a bay are in the background
5332,"A man is rock climbing, pausing and calculating the route"
5333,"A man is rock climbing, stopping and calculating the route"
5334,"A woman is rock climbing, pausing and calculating the route"
5335,A little girl wearing a pink shirt is playing t-ball and taking a swing
5336,A little girl in a pink shirt is playing t-ball and taking a swing
5337,A little boy in a pink shirt is playing t-ball and taking a swing
5338,A little girl is hitting a baseball off a tee
5339,A little girl is hitting a ball off a tee
5340,A little girl is missing a baseball on a tee
5341,A girl is hitting a little tee with a baseball
5342,People are grouping at a stand at the fair
5343,A group of people is gathering at a stand at the fair
5344,No group of people is gathering at a stand at the fair
5345,The people are standing at a carnival
5346,The people are standing at a parade
5347,The people are running at a carnival
5348,A group of rollerbladers is lining up on the street
5349,A group of rollerbladers is lining up on the road
5350,A group of rollerbladers is scattering on the street
5351,Rollerbladers are rolling in formation down a hill
5352,Rollerbladers are running in formation down a hill
5353,Rollerbladers are not rolling in formation down a hill
5354,A woman is marching with a pair of dogs
5355,A woman is walking with a pair of dogs
5356,A woman is standing with a pair of dogs
5357,A woman is showing a dog with very long hair at a dog show
5358,A dog with very long hair is being showed by a woman at a dog show
5359,A woman is showing a dog with very short hair at a dog show
5360,A skateboarder is jumping off a ramp
5361,A skateboarder is making a jump off a ramp
5362,No skateboarder is making a jump off a ramp
5363,A man dressed in black is wearing inline skates and performing acrobatics on a rail
5364,A man dressed in black is wearing inline skates and performing a trick on a rail
5365,A woman dressed in black is wearing inline skates and performing a trick on a rail
5366,Three children are running down hill
5367,Three kids are running down hill
5368,Three children are running up hill
5369,Three children are running down a grassy hillside
5370,Three children are running down a hillside covered by grass
5371,Three children are running up a grassy hillside
5372,A black and orange bird is standing on the lawn
5373,A black and orange bird is standing in the grass
5374,A black and orange bird is not standing in the grass
5375,The black bird with a yellow beak is standing in the green grass
5376,A black bird with a yellow beak is standing in the green grass
5377,A white bird with a yellow beak is standing in the green grass
5378,A shirtless man is posing with a girl who is hiking in a park
5379,A shirtless person is posing with a girl who is hiking in a park
5380,A shirtless woman is posing with a girl who is hiking in a park
5381,A man without a shirt is posing with the arms spread next to a woman
5382,A man without a shirt is posing with the arms spread near a woman
5383,A man with a shirt is posing with the arms spread next to a woman
5384,Two white dogs are quickly running together
5385,Two white dogs are running together
5386,Two white dogs are not running together
5387,Two white puppies are playing near a pool
5388,Two white puppies are playing near water
5389,Two black puppies are playing near a pool
5390,A group of people are standing around a sound mixing table
5391,A group of people are standing around a sound mixing console
5392,A group of people are not standing around a sound mixing table
5393,A group of people are looking at sound equipment
5394,Some people is looking at sound equipment
5395,A group of people are not looking at sound equipment
5396,A young couple is sleeping in bed
5397,A young couple is lying in bed
5398,A young couple is not lying in bed
5399,A young couple is lying on a bed together
5400,A couple is lying on a bed together
5401,A young couple is lying on a couch together
5402,Three men are walking across a rope and wood bridge over a river
5403,Three people are walking across a rope and wood bridge over a river
5404,Three people are walking across a rope and steel bridge over a river
5405,People are crossing a rope bridge over a rocky stream
5406,People are walking across a rope bridge over a rocky stream
5407,People are not walking across a rope bridge over a rocky stream
5408,Four people are walking on a bridge over a river
5409,Four people are walking on a bridge over a body of water
5410,Four people are sitting on a bridge over a body of water
5411,Several people are crossing in line a bridge
5412,Several people are walking in line across a bridge
5413,Several people are not walking in line across a bridge
5414,A young boy is jumping into water
5415,A young kid is jumping into water
5416,A young boy is jumping out of the water
5417,A boy is wearing a yellow jacket and is jumping down from a rock
5418,A child is wearing a yellow jacket and is jumping down from a rock
5419,A child is wearing a yellow jacket and is jumping on a rock
5420,The young child is riding a three wheeled scooter down the sidewalk
5421,A young child is riding a three wheeled scooter down the sidewalk
5422,No young child is riding a three wheeled scooter down the sidewalk
5423,A toddler is riding a plastic scooter toy
5424,A toddler is playing with a plastic scooter toy
5425,A toddler is not riding a plastic scooter toy
5426,Three men are sitting on a mountainside and looking at the view with a pair of binoculars
5427,Three hikers are sitting on a mountainside and looking at the view with a pair of binoculars
5428,Three hikers are standing on a mountainside and looking at the view with a pair of binoculars
5429,Three men are lying on a hill and looking at the mountains and sky
5430,Three men are sitting on a hill and looking at the mountains and sky
5431,Three men are sitting on a hill and looking at the sea
5432,A girl is skipping rope on a sidewalk
5433,A girl is skipping rope on near a street
5434,A girl is skipping rope in a park
5435,A young girl is jumping rope on a sidewalk near a parking garage
5436,A girl is jumping rope on a sidewalk near a parking garage
5437,A boy is jumping rope on a sidewalk near a parking garage
5438,People are clustered around a bonfire at night
5439,People are sitting around a bonfire at night
5440,People are clustered around a bonfire at morning
5441,Several people are sitting around a fire at night
5442,Several people are gathered around a fire at night
5443,No people is sitting around a fire at night
5444,A brown dog is standing in a lake
5445,A white dog is standing in a lake
5446,A dog is swimming in a body of water
5447,An animal is swimming in a body of water
5448,A dog is not swimming in a body of water
5449,Two dogs are running through the park
5450,Two animals are running through the park
5451,Two dogs are running through the beach
5452,Two dogs are running quickly through the park
5453,Two dogs are running quickly through a park
5454,Two dogs are walking slowly through a park
5455,A boy is speeding down a steep slide
5456,A kid is speeding down a steep slide
5457,A girl is speeding down a steep slide
5458,A boy is wearing all black and is sliding down a blow up yellow slide
5459,A boy is wearing all black and is sliding down a blow up slide
5460,A girl is wearing all black and is sliding down a blow up yellow slide
5461,A man is hanging on the ledge of a balcony
5462,A man is leaning on the ledge of a balcony
5463,A woman is leaning on the ledge of a balcony
5464,A man with a white moustache is standing on a balcony and is looking at the road below
5465,A man with moustaches is standing on a balcony and is looking at the road below
5466,A man with a white moustache is sitting on a balcony and is looking at the road below
5467,A small white dog is running in a lawn
5468,A small white dog is running across a lawn
5469,A big white dog is running across a lawn
5470,A brown and white dog with a brown and black bandanna is quickly running 
5471,A brown and white dog with a brown and black bandanna is running very fast
5472,A brown and white cat with a brown and black bandanna is running very fast
5473,The dog is on a leash and is walking out of the water
5474,The dog is on a leash and is walking near the water
5475,The dog is on a leash and is walking in the water
5476,A black dog on a leash is walking in the water
5477,A dog on a leash is walking in the water
5478,A white dog on a leash is walking in the water
5479,A red sled is being held by a little girl in a green coat and a boy walking in the snow
5480,A little girl in a green coat and a boy holding a red sled are walking in the snow
5481,A little girl in a green coat and a boy holding a red sled are lying in the snow
5482,A child is wearing a coat and is carrying a red sled behind a child in a green and black coat
5483,A child is wearing a coat and is carrying a red sled near a child in a green and black coat
5484,A child is not wearing a coat and is carrying a red sled behind a child in a green and black coat
5485,A boy is sitting on the ground
5486,A toddler is sitting down
5487,A toddler is standing up
5488,A boy is sitting in a seat
5489,A toddler is sitting in a seat
5490,A girl is sitting in a seat
5491,A dog is catching a black frisbee
5492,A dog is biting a black frisbee
5493,A dog is catching a white frisbee
5494,A large wet yellow dog is retrieving a toy
5495,A large wet yellow dog is holding a toy
5496,A large wet yellow cat is retrieving a toy
5497,A woman is wearing a long black coat and a brown hat and is walking past a park with a lot of blooming trees
5498,A woman is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees
5499,A man is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees
5500,A woman is walking in a city street
5501,A woman is walking in a road
5502,A man is walking in a city street
5503,Two people are riding motorbikes
5504,Motorbikes are being ridden by two people
5505,Two people are not riding motorbikes
5506,Dirt bikers are riding on a trail
5507,Bikers are riding on a trail
5508,Dirt bikers are not riding on a trail
5509,A man is leaning against a pole and is surrounded by people
5510,A man is leaning against a pole and is surrounded
5511,A woman is leaning against a pole and is surrounded by people
5512,A middle eastern man is standing with the back against a lamp post near to other people
5513,A middle eastern man is standing against a lamp post near to other people
5514,A middle eastern woman is standing with her back against a lamp post near to other people
5515,A couple is looking at a street guide
5516,A couple is looking at a map
5517,A couple is not looking at a map
5518,A man and a woman are standing in front of an art gallery and are looking at a map
5519,A man and a woman are standing in front of an art gallery and are looking at a signboard 
5520,A man and a woman are sitting in front of an art gallery and are looking at a map
5521,The dog is running across the dirty path
5522,The dog is running across the gravel
5523,The cat is running across the gravel
5524,A little dog is running on the beach
5525,A little dog is running on the sand
5526,No little dog is running on the sand
5527,One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is diving into the water
5528,One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water
5529,One girl in orange shorts is standing on a rock cliff over the water and the other girl in black shorts is jumping off into the water
5530,Two males are standing on a cliff edge and one is jumping into the sea
5531,Two males are standing on a cliff edge and one is jumping into the water
5532,Two males are standing on a cliff edge and no one is jumping into the water
5533,A boy is playing a game with wooden blocks
5534,A boy is playing a game with blocks made of wood
5535,A boy is playing a game with steel blocks
5536,A boy in blue shirt is looking at his hand near a stack of blocks on table
5537,The boy in blue shirt is looking at his hand near the stack of blocks on table
5538,A woman in blue shirt is looking at her hand near a stack of blocks on table
5539,A woman in a bikini is pulling a dog on a leash at the seashore
5540,A woman in a bikini is pulling a dog on a leash at the beach
5541,A woman in a bikini is pulling a cat on a leash at the beach
5542,A woman is standing at the beach with a dog on a leash
5543,A woman is standing at the beach with an animal on a leash
5544,A woman is running on the beach with a dog on a leash
